Keyword,index,org,edu,com,else,keyword in entry,tutorial,wiki,introduction,course,class,lecture,video,graph,diagram,entry length,keyword_count,content_length,content_diagram,content_example,content_formula,content_graph,content_code,content_video,content_book,label
data mining,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,322,18,11726,0,3,0,2,1,0,0,1
data mining,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,363,42,18107,0,7,0,0,1,0,2,2
data mining,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,341,12,8632,0,0,0,1,0,0,0,0
data mining,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,478,15,7085,0,2,0,1,1,0,2,1
data mining,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,326,8,4910,0,2,0,1,0,0,1,0
data mining,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1052,2,3043,0,0,0,0,0,0,0,0
data mining,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,300,13,7426,0,6,0,0,0,1,1,1
data mining,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,332,2,4382,0,1,0,0,2,0,0,0
data mining,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,321,16,8721,0,2,0,1,0,0,2,1
data mining,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,414,4,5856,0,3,0,0,0,0,0,1
subgraph counting,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,283,0,0,0,0,0,0,0,0,0,0
subgraph counting,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,336,0,24,0,0,0,0,0,0,0,0
subgraph counting,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,289,0,629,0,0,0,0,2,0,0,0
subgraph counting,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,174,0,0,0,0,0,0,0,0
subgraph counting,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,644,0,116,0,0,0,0,0,0,0,0
subgraph counting,6,0,0,1,0,0,0,0,0,0,1,0,0,1,0,736,0,1083,0,0,0,2,0,0,0,1
subgraph counting,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,669,0,178,0,0,0,0,1,0,0,0
subgraph counting,8,0,1,0,0,0,1,0,0,0,0,0,0,1,0,317,0,132,0,0,0,0,1,0,0,0
subgraph counting,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,359,0,311,0,0,0,0,0,0,0,1
subgraph counting,10,0,0,0,1,0,0,0,0,0,1,0,0,1,0,315,0,7015,0,0,0,0,1,0,0,2
deep learning,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,359,53,45207,0,17,1,6,8,4,6,2
deep learning,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,275,139,63486,1,11,0,4,39,1,14,2
deep learning,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,798,2,1428,0,0,0,0,0,0,7,1
deep learning,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,713,19,16828,0,0,0,0,0,5,2,2
deep learning,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,666,27,13199,0,1,0,2,0,0,0,1
deep learning,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,841,0,1242,0,0,0,0,0,0,7,0
deep learning,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,368,13,8131,0,3,0,1,0,1,1,1
deep learning,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,520,3,2943,0,0,0,1,1,3,7,1
deep learning,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,741,0,771,0,0,0,0,0,0,0,0
deep learning,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,521,40,12209,0,6,0,1,3,2,0,2
neural network,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,488,0,304,0,0,0,0,0,0,0,0
neural network,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,342,49,18877,0,10,0,1,0,1,0,2
neural network,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,850,32,10461,0,4,2,0,1,0,1,1
neural network,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1223,2,1242,0,0,0,0,0,0,7,1
neural network,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,952,6,10207,0,2,0,2,0,1,2,1
neural network,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,332,42,18395,0,5,0,9,0,0,0,2
database management systems,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0
algorithm,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,808,152,42954,3,22,3,14,15,0,3,2
algorithm,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,234,20,2854,0,0,0,1,1,0,0,0
algorithm,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,831,0,480,0,0,0,0,0,0,0,1
algorithm,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,437,15,3307,0,3,0,0,1,0,0,1
algorithm,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,372,29,7921,0,5,0,0,0,0,0,1
